response_id,research_id,respondent_id,object,translated_response,combined_response,final_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
167,CEG202361,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Stick it in ground to mark your spot in park,use fork as Stick it in ground to mark your spot in park,use fork as Stick it in ground to mark your spot in park,2,5,2,5
168,CEG202362,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
169,CEG202363,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,pick up small items like rice or beans,use fork as pick up small items like rice or beans,use fork as pick up small items like rice or beans,1,5,1,5
170,CEG202364,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,apply makeup such as lip gloss or mascara,use fork as apply makeup such as lip gloss or mascara,use fork as apply makeup such as lip gloss or mascara,3,2,3,2
171,CEG202365,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,clean dirt and grime out of small crevices and corners,use fork as clean dirt and grime out of small crevices and corners,use fork as clean dirt and grime out of small crevices and corners,2,5,2,5
172,CEG202366,cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI,fork,fork,use fork as fork,use fork as fork,1,5,1,5
173,CEG202367,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,eat food,use fork as eat food,use fork as eat food,1,5,1,5
174,CEG202368,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,hold food while cutting it with knife,use fork as hold food while cutting it with knife,use fork as hold food while cutting it with knife,1,5,1,5
175,CEG202369,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,spear food,use fork as spear food,use fork as spear food,1,5,1,5
174,CEG202367,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,pick up food from floor,use fork as pick up food from floor,use fork as pick up food from floor,1,5,1,5
176,CEG202370,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,pick up food that has fallen on floor,use fork as pick up food that has fallen on floor,use fork as pick up food that has fallen on floor,1,5,1,5
177,CEG202371,cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
179,CEG202372,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
180,CEG202373,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
181,CEG202374,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
182,CEG202375,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,scrape dirt off your shoes,use fork as scrape dirt off your shoes,use fork as scrape dirt off your shoes,2,5,2,5
183,CEG202376,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,pick up small objects like paperclips or beads,use fork as pick up small objects like paperclips or beads,use fork as pick up small objects like paperclips or beads,2,5,2,5
184,CEG202377,cmpl-4zrZWebxU7t3KID75VgorICiQ98tS,fork,fork,use fork as fork,use fork as fork,1,5,1,5
185,CEG202378,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
186,CEG202379,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,make small holes in fabric so that you can thread ribbon or string through it to create decorations,use fork as make small holes in fabric so that you can thread ribbon or string through it to create decorations,use fork to make small holes in fabric so that you can thread ribbon or string through it to create decorations,3,4,3,4
187,CEG202380,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,makeshift chopsticks when eating rice or noodles,use fork as makeshift chopsticks when eating rice or noodles,use fork as makeshift chopsticks when eating rice or noodles,2,4,2,4
188,CEG202381,cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6,fork,play steel pan drums,use fork as play steel pan drums,use fork as play steel pan drums,3,5,3,5
190,CEG202382,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,hairpin,use fork as hairpin,use fork as hairpin,2,4,2,4
191,CEG202383,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
192,CEG202384,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,remove splinters,use fork as remove splinters,use fork as remove splinters,2,3,2,3
193,CEG202385,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,clean under your fingernails,use fork as clean under your fingernails,use fork as clean under your fingernails,2,5,2,5
194,CEG202386,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,can double as chopstick holder,use fork as can double as chopstick holder,use fork as can double as chopstick holder,2,4,2,5
195,CEG202387,cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp,fork,Use tines of fork,use fork as Use tines of fork,use fork as Use tines of fork,1,4,1,4
196,CEG202388,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,eat soup without making mess,use fork as eat soup without making mess,use fork as eat soup without making mess,2,3,2,3
197,CEG202389,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,eat spaghetti without making mess,use fork as eat spaghetti without making mess,use fork as eat spaghetti without making mess,1,5,1,5
198,CEG202390,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,eat salad without making mess,use fork as eat salad without making mess,use fork as eat salad without making mess,1,5,1,5
199,CEG202391,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,makeshift spoon if you don't have one handy,use fork as makeshift spoon if you don't have one handy,use fork as makeshift spoon if you don't have one handy,2,4,2,4
200,CEG202392,cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI,fork,use two forks stuck together tine-side out to make impromptu chopsticks,use fork as use two forks stuck together tine-side out to make impromptu chopsticks,use fork to use two forks stuck together tine-side out to make impromptu chopsticks,2,4,2,4
201,CEG202393,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Eat like king or queen with your very own fork,use fork as Eat like king or queen with your very own fork,use fork as Eat like king or queen with your very own fork,2,4,2,4
202,CEG202394,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,bookmark,use fork as bookmark,use fork as bookmark,2,5,2,5
203,CEG202395,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Give your pet cat or dog bath with thelp of your trusty fork,use fork as Give your pet cat or dog bath with thelp of your trusty fork,use fork as Give your pet cat or dog bath with thelp of your trusty fork,3,3,3,3
204,CEG202396,cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC,fork,Get rid of pesky bugs in your home by shooing them away with fork,use fork as Get rid of pesky bugs in your home by shooing them away with fork,use fork as Get rid of pesky bugs in your home by shooing them away with fork,3,3,3,3
206,CEG202397,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,eat spaghetti instead of spoon,use fork as eat spaghetti instead of spoon,use fork as eat spaghetti instead of spoon,1,5,1,5
207,CEG202398,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,apply makeup instead of brush,use fork as apply makeup instead of brush,use fork as apply makeup instead of brush,3,2,3,2
208,CEG202399,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,backscratcher,use fork as backscratcher,use fork as backscratcher,2,5,2,5
209,CEG202400,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,play violin,use fork as play violin,use fork as play violin,4,2,4,2
210,CEG202401,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,open bottles or cans,use fork as open bottles or cans,use fork as open bottles or cans,2,4,2,4
211,CEG202402,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,chopsticks,use fork as chopsticks,use fork as chopsticks,2,4,2,4
212,CEG202403,cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K,fork,Creating art with,use fork as Creating art with,use fork as Creating art with,3,3,3,3
213,CEG202404,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
214,CEG202405,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,play xylophone,use fork as play xylophone,use fork as play xylophone,3,4,3,4
215,CEG202406,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
216,CEG202407,cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm,fork,If you put rubber band around tines of fork it becomes mini-trampoline for ants or other small insects,use fork as If you put rubber band around tines of fork it becomes mini-trampoline for ants or other small insects,use fork for If you put rubber band around tines of fork it becomes mini-trampoline for ants or other small insects,5,2,5,2
218,CEG202408,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
219,CEG202409,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,pick up food that is out of reach,use fork as pick up food that is out of reach,use fork as pick up food that is out of reach,2,5,2,5
220,CEG202410,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
221,CEG202411,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,apply makeup,use fork as apply makeup,use fork as apply makeup,3,2,3,2
222,CEG202412,cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,3,4
224,CEG202413,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,eat food off of plate,use fork as eat food off of plate,use fork as eat food off of plate,1,5,1,5
225,CEG202414,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Stick fork in electrical outlet to see if it is still working,use fork as Stick fork in electrical outlet to see if it is still working,use fork as Stick fork in electrical outlet to see if it is still working,3,3,3,3
226,CEG202415,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
227,CEG202416,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Hold fork up to light to see if it is bent,use fork as Hold fork up to light to see if it is bent,use fork as Hold fork up to light to see if it is bent,2,4,2,4
228,CEG202417,cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,fork,Try to balance fork on its end,use fork as Try to balance fork on its end,use fork as Try to balance fork on its end,2,4,2,4
230,CEG202418,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,play xylophone,use fork as play xylophone,use fork as play xylophone,3,4,3,4
231,CEG202419,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
232,CEG202420,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,measure ingredients when cooking,use fork as measure ingredients when cooking,use fork as measure ingredients when cooking,3,3,3,3
233,CEG202421,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
234,CEG202422,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,Curl your hair with fork,use fork as Curl your hair with fork,use fork as Curl your hair with fork,2,4,2,4
235,CEG202423,cmpl-4zra4atJ3XarPjkJspnVq87V10M79,fork,Make music with forks and spoons by banging them together or on surfaces like tables and,use fork as Make music with forks and spoons by banging them together or on surfaces like tables and,use fork as Make music with forks and spoons by banging them together or on surfaces like tables and,3,5,3,5
236,CEG202424,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,curl your hair,use fork as curl your hair,use fork as curl your hair,2,4,2,4
237,CEG202425,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork, apply makeup,use fork as  apply makeup,use fork as  apply makeup,3,2,3,2
238,CEG202426,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,eat ice cream,use fork as eat ice cream,use fork as eat ice cream,2,5,2,5
239,CEG202427,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,clean your teeth,use fork as clean your teeth,use fork as clean your teeth,2,4,2,4
240,CEG202428,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,brush your hair,use fork as brush your hair,use fork as brush your hair,2,4,2,4
241,CEG202429,cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,fork,pick up food that's fallen on floor,use fork as pick up food that's fallen on floor,use fork as pick up food that's fallen on floor,1,5,1,5
243,CEG202430,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,eat cupcake without getting your hands messy,use fork as eat cupcake without getting your hands messy,use fork as eat cupcake without getting your hands messy,1,5,1,5
244,CEG202431,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,3,3,3,3
245,CEG202432,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
246,CEG202433,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
247,CEG202434,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,Stick fork in ground to mark your spot in line,use fork as Stick fork in ground to mark your spot in line,use fork as Stick fork in ground to mark your spot in line,2,5,2,5
248,CEG202435,cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,fork,Use fork,use fork as Use fork,use fork as Use fork,1,5,1,5
249,CEG202436,cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,Fork art: Create fun designs and shapes using fork as your paintbrush,use fork as Fork art: Create fun designs and shapes using fork as your paintbrush,use fork as Fork art: Create fun designs and shapes using fork as your paintbrush,3,3,3,3
250,CEG202437,cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,"curl your hair, no curlers necessary","use fork as curl your hair, no curlers necessary","use fork as curl your hair, no curlers necessary",2,4,4,4
251,CEG202438,cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,Make music with your fork: tap it against different surfaces to create unique sounds,use fork as Make music with your fork: tap it against different surfaces to create unique sounds,use fork as Make music with your fork: tap it against different surfaces to create unique sounds,3,5,3,5
252,CEG202439,cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP,fork,Keep your drink cold by freezing few forks and adding them to your glass,use fork as Keep your drink cold by freezing few forks and adding them to your glass,use fork as Keep your drink cold by freezing few forks and adding them to your glass,4,4,4,4
254,CEG202440,cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,eat soup instead of spoon,use fork as eat soup instead of spoon,use fork as eat soup instead of spoon,2,3,2,3
255,CEG202441,cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,to apply makeup instead of brush,use fork as to apply makeup instead of brush,use fork as to apply makeup instead of brush,3,2,3,2
256,CEG202442,cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
257,CEG202443,cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,scratch itch you can't reach,use fork as scratch itch you can't reach,use fork as scratch itch you can't reach,2,5,2,5
258,CEG202444,cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1,fork,play piano (if keys are big enough),use fork as play piano (if keys are big enough),use fork as play piano (if keys are big enough),3,3,3,3
260,CEG202445,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,Eat cereal with fork instead of spoon,use fork as Eat cereal with fork instead of spoon,use fork as Eat cereal with fork instead of spoon,1,5,1,5
261,CEG202446,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,play fetch with your dog,use fork as play fetch with your dog,use fork as play fetch with your dog,3,2,3,2
262,CEG202447,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,bookmark in your favorite book,use fork as bookmark in your favorite book,use fork as bookmark in your favorite book,2,5,2,5
263,CEG202448,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,Keep track of your keys by hanging them on fork,use fork as Keep track of your keys by hanging them on fork,use fork as Keep track of your keys by hanging them on fork,3,4,3,4
264,CEG202449,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,open up tightly sealed jars,use fork as open up tightly sealed jars,use fork as open up tightly sealed jars,1,5,1,5
265,CEG202450,cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS,fork,Sift flour by using fork instead,use fork as Sift flour by using fork instead,use fork as Sift flour by using fork instead,2,4,2,4
266,CEG202451,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,eat soup instead of spoon,use fork as eat soup instead of spoon,use fork as eat soup instead of spoon,2,3,2,3
267,CEG202452,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,play piano,use fork as play piano,use fork as play piano,3,3,3,3
268,CEG202453,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,brush your teeth,use fork as brush your teeth,use fork as brush your teeth,4,2,4,2
269,CEG202454,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
270,CEG202455,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,bookmark in your book,use fork as bookmark in your book,use fork as bookmark in your book,2,5,2,5
271,CEG202456,cmpl-4zraUifPUfrYanvkLcAzlKBfY459v,fork,Stick forks in ground to make garden fence or trellis for climbing,use fork as Stick forks in ground to make garden fence or trellis for climbing,use fork to Stick forks in ground to make garden fence or trellis for climbing,3,2,3,2
272,CEG202457,cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,curl your hair,use fork as curl your hair,use fork as curl your hair,2,4,2,4
273,CEG202458,cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,eat soup without getting your hands dirty,use fork as eat soup without getting your hands dirty,use fork as eat soup without getting your hands dirty,2,3,2,3
275,CEG202459,cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,Hold fork by tines and use handle to hammer in nails,use fork as Hold fork by tines and use handle to hammer in nails,use fork to Hold fork by tines and use handle to hammer in nails,3,2,3,2
276,CEG202460,cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt,fork,Place fork in between door and door,use fork as Place fork in between door and door,use fork as Place fork in between door and door,2,4,2,4
277,CEG202461,cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,eat food,use fork as eat food,use fork as eat food,1,5,1,5
278,CEG202462,cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,utensil to cook food,use fork as utensil to cook food,use fork as utensil to cook food,1,5,1,5
279,CEG202463,cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,serve food,use fork as serve food,use fork as serve food,1,5,1,5
280,CEG202464,cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,tool to eat difficult foods such as lobster or steak,use fork as tool to eat difficult foods such as lobster or steak,use fork as tool to eat difficult foods such as lobster or steak,1,5,1,5
281,CEG202465,cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,fork,play musical instruments such as violin or,use fork as play musical instruments such as violin or,use fork as play musical instruments such as violin or,4,2,4,2
282,CEG202466,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Eating soup,use fork as Eating soup,use fork as Eating soup,2,3,2,3
283,CEG202467,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Holding up table,use fork as Holding up table,use fork as Holding up table,3,3,3,3
284,CEG202468,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,hairbrush,use fork as hairbrush,use fork as hairbrush,2,4,2,4
285,CEG202469,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Wearing as necklace,use fork as Wearing as necklace,use fork as Wearing as necklace,3,2,3,2
286,CEG202470,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Building fort,use fork as Building fort,use fork as Building fort,3,2,3,2
287,CEG202471,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Pretending to be telephone,use fork as Pretending to be telephone,use fork as Pretending to be telephone,3,4,3,4
288,CEG202472,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,chopsticks,use fork as chopsticks,use fork as chopsticks,2,4,2,4
289,CEG202473,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Making music with it,use fork as Making music with it,use fork as Making music with it,3,4,3,4
290,CEG202474,cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX,fork,Digging in sand,use fork as Digging in sand,use fork as Digging in sand,2,3,2,3
291,CEG202475,cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,fork,hairpin,use fork as hairpin,use fork as hairpin,2,4,2,4
292,CEG202476,cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,fork,eat soup,use fork as eat soup,use fork as eat soup,2,3,2,3
293,CEG202477,cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
294,CEG202478,cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,fork,pick up food that has fallen on floor,use fork as pick up food that has fallen on floor,use fork as pick up food that has fallen on floor,1,5,1,5
295,CEG202479,cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV,fork,play piano,use fork as play piano,use fork as play piano,3,3,3,3
297,CEG202480,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,eat soup,use fork as eat soup,use fork as eat soup,2,3,2,3
298,CEG202481,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,Stick fork in piece of fruit to eat it,use fork as Stick fork in piece of fruit to eat it,use fork as Stick fork in piece of fruit to eat it,1,5,1,5
299,CEG202482,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,spoon when eating cereal or yogurt,use fork as spoon when eating cereal or yogurt,use fork as spoon when eating cereal or yogurt,1,5,1,5
300,CEG202483,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,Hold fork like chopsticks to eat rice or noodles,use fork as Hold fork like chopsticks to eat rice or noodles,use fork as Hold fork like chopsticks to eat rice or noodles,2,4,2,4
301,CEG202484,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,Stick fork in your hair to hold it back while you're cooking,use fork as Stick fork in your hair to hold it back while you're cooking,use fork as Stick fork in your hair to hold it back while you're cooking,2,4,2,4
302,CEG202485,cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3,fork,Use fork,use fork as Use fork,use fork as Use fork,1,5,1,5
303,CEG202486,cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
304,CEG202487,cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,fork,apply makeup,use fork as apply makeup,use fork as apply makeup,3,2,3,2
305,CEG202488,cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,2,4
306,CEG202489,cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,fork,Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,3,3,3,3
307,CEG202490,cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj,fork,Hold fork by  tines and use handle as drumstick,use fork as Hold fork by  tines and use handle as drumstick,use fork to Hold fork by  tines and use handle to drumstick,3,4,3,4
309,CEG202491,cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,fork, fluff up your hair for quick and easy hairstyle,use fork as  fluff up your hair for quick and easy hairstyle,use fork for  fluff up your hair for quick and easy hairstyle,2,4,2,4
310,CEG202492,cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,fork,Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,use fork as Stick fork in electrical outlet to see if it's still working,3,3,3,3
311,CEG202493,cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,fork,bookmark in your favorite book,use fork as bookmark in your favorite book,use fork as bookmark in your favorite book,2,5,2,5
312,CEG202494,cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,fork,Straighten out bent fork with another fork,use fork as Straighten out bent fork with another fork,use fork as Straighten out bent fork with another fork,2,4,2,4
313,CEG202495,cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H,fork,Curl your lashes with clean fork tine for,use fork as Curl your lashes with clean fork tine for,use fork for Curl your lashes with clean fork tine for,3,3,3,3
314,CEG202496,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,back scratcher,use fork as back scratcher,use fork as back scratcher,2,5,2,5
315,CEG202497,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,toothpick,use fork as toothpick,use fork as toothpick,2,4,3,4
316,CEG202498,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,remove splinters,use fork as remove splinters,use fork as remove splinters,2,3,2,3
317,CEG202499,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,apply makeup,use fork as apply makeup,use fork as apply makeup,3,2,3,2
318,CEG202500,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,comb your hair,use fork as comb your hair,use fork as comb your hair,2,4,2,4
319,CEG202501,cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y,fork,open bottles and cans,use fork as open bottles and cans,use fork as open bottles and cans,2,4,2,4
320,CEG202502,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Drive nails into wood,use fork as Drive nails into wood,use fork as Drive nails into wood,3,2,3,2
321,CEG202503,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Pick up food from plate,use fork as Pick up food from plate,use fork as Pick up food from plate,1,5,1,5
322,CEG202504,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Hold hair in place while braiding,use fork as Hold hair in place while braiding,use fork as Hold hair in place while braiding,2,4,2,4
323,CEG202505,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Eat soup without making mess,use fork as Eat soup without making mess,use fork as Eat soup without making mess,2,3,2,3
324,CEG202506,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Dig in dirt,use fork as Dig in dirt,use fork as Dig in dirt,2,3,2,3
325,CEG202507,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Measure ingredients,use fork as Measure ingredients,use fork as Measure ingredients,3,2,3,2
326,CEG202508,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Play piano,use fork as Play piano,use fork as Play piano,3,3,3,3
327,CEG202509,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Make snow angel,use fork as Make snow angel,use fork as Make snow angel,3,3,3,3
328,CEG202510,cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l,fork,Comb your hair,use fork as Comb your hair,use fork as Comb your hair,2,4,2,4
329,CEG202511,cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb,fork,used as impromptu toothpicks. Simply insert tines of fork into your teeth and give them good cleaning,use fork as used as impromptu toothpicks. Simply insert tines of fork into your teeth and give them good cleaning,use fork as used as impromptu toothpicks. Simply insert tines of fork into your teeth and give them good cleaning,2,4,2,4
